Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Other small states,OSS,23.1210083669718,23.6994346593286,22.9267305013988,25.0483323639464,23.4779932541154,23.4078173086576,24.1521513842124,22.2960153982683,21.1840575727963,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Pacific island small states,PSS,11.4904283123553,13.0349343127279,12.558685791009,12.3695082529369,12.5800998210283,12.5113266643808,13.1563320501503,13.2360653228674,12.8773179905891,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Post-demographic dividend,PST,18.8656258949907,16.6705964670753,12.4413864065548,12.2320703585392,11.4270887504485,11.6126135756498,11.6898069881246,10.9844919844194,11.0001508829467,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Pre-demographic dividend,PRE,43.1189956320909,45.307646001526,38.9590518451061,50.9041075965194,46.5479892674458,44.1113378923346,42.3933399914638,38.9439660966704,40.7072055821173,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Small states,SST,21.8174725373332,22.6129270082747,21.5827549218179,23.2929133401081,22.1354851558645,22.0296499022153,22.7707166135398,21.4775081051994,20.6105031903131,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,South Asia,SAS,60.3889266410364,59.9492999973046,76.3665126400434,71.5048530887226,73.0281148324475,65.1755337759552,66.0013089314491,57.6247841302567,46.761099733566,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,South Asia (IDA & IBRD),TSA,60.3889266410364,59.9492999973046,76.3665126400434,71.5048530887226,73.0281148324475,65.1755337759552,66.0013089314491,57.6247841302567,46.761099733566,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Sub-Saharan Africa,SSF,39.2332038634254,41.2294606842827,35.6730882097768,46.5544222062187,42.7530014483733,40.7846217866119,39.0944691727479,36.2221384584107,38.1777310513302,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Sub-Saharan Africa (excluding high income),SSA,39.2372720698875,41.2331262674597,35.6755240626351,46.5578442490273,42.7559549761457,40.7873650675393,39.0970618039546,36.2244340511557,38.1802309248681,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Sub-Saharan Africa (IDA & IBRD countries),TSS,39.2332038634254,41.2294606842828,35.6730882097769,46.5544222062187,42.7530014483733,40.7846217866119,39.0944691727478,36.2221384584107,38.1777310513302,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Upper middle income,UMC,39.88493346304,39.5231020700893,38.5633461906631,36.6675542420567,34.4656325190796,33.3499632452514,30.7834709018042,29.0935841579217,27.4111876981387,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,World,WLD,39.6557396735183,39.8365163043514,42.4277993059917,42.1578674575682,40.9733816118391,38.3887564832994,37.6380474813557,34.4974705338068,31.321074188751,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,,,
